domain_full,label
0wdp2jqou3djrlinryi1.info,1
e6t32pjhk9m9c0v24.net,1
forns.ru,0
lyprnoch376i6a2r.net,1
e4zcb6ioj2jv7.biz,1
zdchuw5yhsr3riyegdy.net,1
pu1pr9c6y0gpmtmla8r.com,1
r7psz3wgboxuh.org,1
nvhkl858fvxfemyjwj.com,1
8vc0m1jbdgzq.com,1
eaukcionai.lt,0
seychelles.com,0
arabbank.com.eg,0
crossroadstrading.com,0
appdn.net,0
9onkts8rkzal77u48ah1.biz,1
kingfun.global,0
jayscustomcreations.com,0
gs4alba8a6.org,1
r3v7foisfqlfnfqpa3v.net,1
asrgb0jnnu7bsf3zl3.info,1
academia.vinnica.ua,0
i2tk3l6n8i0rwla1x.com,1
islamicshop.in,0
marthas.co.nz,0
brainnordic.com,0
pf36w2u40uauvldj4.biz,1
jblii2titbqj.biz,1
rz1puzpv7kcfsq.org,1
hfjyz.cn,0
vy6qosjsktc928g.org,1
qcus63cuq4ayolwvomio.com,1
legisrn.gov.ar,0
chempro.com.au,0
williamsh.fr,0
doa786.com,0
4f6h6xfb4fx.net,1
axesat.com,0
dxrgkz4heo4tzd73.biz,1
allwyn.dev,0
ecvery.com,0
lm36ye7idrxaofw09.com,1
spinbetter.link,0
palkeo.com,0
gatitechno.com,0
4v330o7kg0fey7y5owz.info,1
vkconpe7o5xc8zbjvdu.net,1
4cnho77b8baip7.info,1
loverslane.com,0
g11fdbz51iq.org,1
dastan.co,0
thorlabs.com,0
technews24.site,0
umg29s45nz4084125.biz,1
2stj3jqmfdurli.net,1
kashxa-infra.com,0
kg4ok4cllojjrk1ud.info,1
kygj7mt92qptd1.org,1
nfvqkrfs9z81ot7aqcy.com,1
cedock.com,0
sq2aciqyofsila2s.biz,1
9rstjo3aeq.biz,1
kehe.com,0
vr0gir9pye87bf1qm3jv.org,1
cigroupindia.com,0
cqzj6y8os20r40i94k2.com,1
8237meyum30algl4xnrc.org,1
zhubajie.com,0
homedirectng.com,0
gpqrfm5n5ihrrlag.org,1
soundation.com,0
moreweb.nz,0
syir3n6w3k3pu.com,1
tpm.ru,0
sargadelos.com,0
bojangles.com,0
standart-n.ru,0
f1z4vztwd5tc548lab5.info,1
kqn2y31kny.biz,1
torrent-mass.ru,0
pokedex100.com,0
h7y96oufsgko5hxf.info,1
recevet.es,0
1nty5wyukohc71zk7yf.com,1
0gnhmwm8lg4t1.com,1
6getow6jrw52sfi.info,1
4nax3727utja2r.biz,1
l1p0cvdumw3k3.com,1
0g42j38kzhelp1u4x.org,1
elboomeran.com,0
p-tweets.com,0
ii0lxu0wgbqj6x1.org,1
buildrc.cn,0
coquetearhoy.com,0
j3u3k3vg08fc7l8xv0vh.biz,1
jk9dd3kzcq2gg4p5l44.org,1
qz5wb2eaagh6ak.net,1
x5djmxyvj9zlq.biz,1
livebloggs.com,0
4isvdp7cqw3.org,1
1j42obyshiqri.biz,1
95t3lb3had.com,1
6xlhjw1fks259vizvmb.info,1
mp3v9a66yj2gipy.biz,1
svdygs5ezb4vx.com,1
hongdalengku.cn,0
oenew.cn,0
distribuidoralira.cl,0
by4ina87wu.org,1
e5x7bwzhkq33alf8.biz,1
b7tn1scyicpqc.org,1
wkijvf3jyfx0e.net,1
6wldn7grq5pwbr6e7z.net,1
ldsq07fnzejn761z2.net,1
bdzrerergciu2k9g39hy.info,1
8ep6q4moqwsl63gc3.biz,1
pneq89nqpapw4al.info,1
easydigitaldownloads.com,0
aquachile.com,0
lr1tlenqq7rfft.info,1
yqgxhb9liarldtg0nfm9.com,1
fantasygmm.top,0
khoyhd79cgzwh482m1e.org,1
aynvwjoj8cqloa239.info,1
pfl9i2hx1u9uxvk4h3q.com,1
lcloud.in.ua,0
127viquaep.org,1
dumatv.ru,0
organicsbyredbull.om,0
1xbet-lyq.top,0
8days.sg,0
6rlja49zpbu.net,1
divino.com.uy,0
ufabet3663.com,0
a7eceuiti0w.biz,1
nsys.by,0
rqa1pm0y6t420cqc2.biz,1
e4s7odmfn09funq.biz,1
0sd6ar6b79sjwgt.biz,1
echobot.de,0
dogsfiles.com,0
steinadler.com,0
virtualthreads.io,0
pfxprod.com,0
armorjack.ru,0
3e0zpsq4jxxywrig.net,1
zapinfo.io,0
09bjbhx97pkw.biz,1
3fjjnu6letc1i0.biz,1
pool-aviantogel.site,0
0gkwbeqd218slk.com,1
tcuuo0arzy0rmlota.com,1
datadrivenlogistics.com,0
les-ateliers-du-bijou-contemporain.com,0
ea4a45ay00a.info,1
z9hfsj3xqo.info,1
masmediatv.es,0
5bicgjkrgsmzfbgnak1h.org,1
tason.com,0
nnjthx.com,0
maisonsetappartements.fr,0
1vcz79ggyoh.com,1
jvrlgpy0sv.info,1
performance-appraisals.org,0
barletti.com,0
